stop_id,stop_name,latitude,longitude
143488,Kolob Terrace Road Virgin (Eastbound),37.109837,-113.581188
143494,365 North Valley View,37.109837,-113.581188
143495,Telegraph & Palo Verde,37.109837,-113.581188
143502,Cottonwood Cove Park,37.109837,-113.581188
143507,The VFW / Lions Club,37.109837,-113.581188
143508,Oasis Palms Apartments,37.109837,-113.581188
143510,Salt Lake Express/ South Main Street,37.109837,-113.581188
143514,Bluff View/Sunrise,37.109837,-113.581188
143522,Phoenix Plaza,37.109837,-113.581188
143524,Bluff View/Victoria Lane,37.109837,-113.581188
143541,Lion Boulevard Springdale,37.109837,-113.581188
143547,Valley View Dr @ Stonebridge Drive,37.109837,-113.581188
143549,Kolob Terrace Road Virgin (Westbound),37.109837,-113.581188
143554,Valley View @ Stonebridge,37.109837,-113.581188
143557,Cactus Lane/Quail Ridge Drive,37.109837,-113.581188
143564,Telegraph at Bella Vista,37.109837,-113.581188
143566,Green Valley Condos,37.109837,-113.581188
143575,SW Behavioral Health Center,37.109837,-113.581188
143580,Dairy Queen,37.109837,-113.581188
143583,Cactus Lane/North Cactus Lane,37.109837,-113.581188
143589,3400 West Hurricane (Walmart),37.109837,-113.581188
143591,1130 Zion Park Boulevard (Hampton) Springdale,37.109837,-113.581188
143598,Buena Vista Boulevard/North Millcreek Springs Drive,37.109837,-113.581188
143609,IHC Sunset Clinic,37.109837,-113.581188
143610,Red Mountain Elementary,37.109837,-113.581188
143611,Kings Row @ 1100 East & Kings Highway,37.109837,-113.581188
143616,Summer Hills Apartments,37.109837,-113.581188
143618,Vista Elementary,37.109837,-113.581188
143622,1730 West 100 North,37.109837,-113.581188
143625,Buena Vista/Calle Del Sol,37.109837,-113.581188
143626,1210 Zion Park Boulevard (Bit & Spur) Springdale,37.109837,-113.581188
143630,Paradise Canyon Elementary,37.109837,-113.581188
143632,Bella Vista Apartments,37.109837,-113.581188
143633,Dixie Drive @ Black Ridge Drive,37.109837,-113.581188
143642,Red Cliff Mall,37.109837,-113.581188
143649,144 Cactus Lane/Buena Vista Boulevard,37.109837,-113.581188
143652,Dixie Dr @ Sunbrook Drive,37.109837,-113.581188
143655,1367 West 100 North,37.109837,-113.581188
144072,St. George Clinic,37.109837,-113.581188
144228,5300 West Regional Park Road DMV Hurricane,37.109837,-113.581188
144637,Buena Vista (Boiler Park) Washington,37.109837,-113.581188
