route,day_num,day_name,month,avg_in,total_in
Route 7 Washington,4,Friday,2025-02,113.2,453
Route 8 Zion,4,Friday,2025-02,93.5,374
Route 1 Red Cliffs,5,Saturday,2025-03,192.0,960
Route 3 West Side Connector,5,Saturday,2025-03,215.2,1076
Route 4 Sunset,5,Saturday,2025-03,145.8,729
Route 2 Riverside,5,Saturday,2025-03,215.8,1079
Route 6 Dixie Dr South,5,Saturday,2025-03,79.8,399
Route 5 Ivins,5,Saturday,2025-03,57.2,286
Route 7 Washington,5,Saturday,2025-03,85.4,427
Route 8 Zion,5,Saturday,2025-03,80.4,402
Route 1 Red Cliffs,0,Monday,2025-03,243.6,1218
Route 3 West Side Connector,0,Monday,2025-03,250.2,1251
Route 4 Sunset,0,Monday,2025-03,187.6,938
Route 2 Riverside,0,Monday,2025-03,245.8,1229
Route 6 Dixie Dr South,0,Monday,2025-03,94.8,474
Route 5 Ivins,0,Monday,2025-03,72.6,363
Route 7 Washington,0,Monday,2025-03,99.6,498
Route 8 Zion,0,Monday,2025-03,89.4,447
Route 1 Red Cliffs,1,Tuesday,2025-03,197.5,790
Route 3 West Side Connector,1,Tuesday,2025-03,230.2,921
Route 4 Sunset,1,Tuesday,2025-03,156.5,626
Route 2 Riverside,1,Tuesday,2025-03,204.5,818
Route 6 Dixie Dr South,1,Tuesday,2025-03,81.8,327
Route 5 Ivins,1,Tuesday,2025-03,60.0,240
Route 7 Washington,1,Tuesday,2025-03,75.8,303
Route 8 Zion,1,Tuesday,2025-03,71.2,285
Route 1 Red Cliffs,2,Wednesday,2025-03,219.8,879
Route 3 West Side Connector,2,Wednesday,2025-03,234.2,937
Route 4 Sunset,2,Wednesday,2025-03,168.5,674
Route 2 Riverside,2,Wednesday,2025-03,215.0,860
Route 6 Dixie Dr South,2,Wednesday,2025-03,95.0,380
Route 5 Ivins,2,Wednesday,2025-03,69.5,278
Route 7 Washington,2,Wednesday,2025-03,88.0,352
Route 8 Zion,2,Wednesday,2025-03,80.5,322
Route 1 Red Cliffs,3,Thursday,2025-03,208.0,832
Route 3 West Side Connector,3,Thursday,2025-03,234.8,939
Route 4 Sunset,3,Thursday,2025-03,164.5,658
Route 2 Riverside,3,Thursday,2025-03,221.2,885
Route 6 Dixie Dr South,3,Thursday,2025-03,83.5,334
Route 5 Ivins,3,Thursday,2025-03,62.8,251
Route 7 Washington,3,Thursday,2025-03,83.5,334
Route 8 Zion,3,Thursday,2025-03,71.5,286
Route 1 Red Cliffs,4,Friday,2025-03,242.0,968
Route 3 West Side Connector,4,Friday,2025-03,239.0,956
Route 4 Sunset,4,Friday,2025-03,190.5,762
Route 2 Riverside,4,Friday,2025-03,232.5,930
Route 6 Dixie Dr South,4,Friday,2025-03,103.2,413
Route 5 Ivins,4,Friday,2025-03,70.0,280
Route 7 Washington,4,Friday,2025-03,102.0,408
Route 8 Zion,4,Friday,2025-03,84.0,336
Route 1 Red Cliffs,1,Tuesday,2025-04,255.2,1276
Route 3 West Side Connector,1,Tuesday,2025-04,297.6,1488
Route 4 Sunset,1,Tuesday,2025-04,202.0,1010
Route 2 Riverside,1,Tuesday,2025-04,264.2,1321
Route 6 Dixie Dr South,1,Tuesday,2025-04,105.6,528
Route 5 Ivins,1,Tuesday,2025-04,77.6,388
Route 7 Washington,1,Tuesday,2025-04,97.8,489
Route 8 Zion,1,Tuesday,2025-04,92.2,461
Route 1 Red Cliffs,2,Wednesday,2025-04,301.2,1506
Route 3 West Side Connector,2,Wednesday,2025-04,320.8,1604
Route 4 Sunset,2,Wednesday,2025-04,230.6,1153
Route 2 Riverside,2,Wednesday,2025-04,294.4,1472
Route 6 Dixie Dr South,2,Wednesday,2025-04,130.0,650
Route 5 Ivins,2,Wednesday,2025-04,95.0,475
Route 7 Washington,2,Wednesday,2025-04,120.6,603
Route 8 Zion,2,Wednesday,2025-04,110.2,551
Route 1 Red Cliffs,3,Thursday,2025-04,270.5,1082
Route 3 West Side Connector,3,Thursday,2025-04,305.5,1222
Route 4 Sunset,3,Thursday,2025-04,214.2,857
Route 2 Riverside,3,Thursday,2025-04,288.0,1152
Route 6 Dixie Dr South,3,Thursday,2025-04,108.8,435
Route 5 Ivins,3,Thursday,2025-04,81.8,327
Route 7 Washington,3,Thursday,2025-04,108.8,435
Route 8 Zion,3,Thursday,2025-04,93.0,372
Route 1 Red Cliffs,4,Friday,2025-04,230.0,920
Route 3 West Side Connector,4,Friday,2025-04,227.2,909
Route 4 Sunset,4,Friday,2025-04,181.2,725
Route 2 Riverside,4,Friday,2025-04,221.2,885
Route 6 Dixie Dr South,4,Friday,2025-04,98.0,392
Route 5 Ivins,4,Friday,2025-04,66.5,266
Route 7 Washington,4,Friday,2025-04,97.0,388
Route 8 Zion,4,Friday,2025-04,79.8,319
Route 1 Red Cliffs,5,Saturday,2025-04,193.8,775
Route 3 West Side Connector,5,Saturday,2025-04,217.2,869
Route 4 Sunset,5,Saturday,2025-04,147.0,588
Route 2 Riverside,5,Saturday,2025-04,218.0,872
Route 6 Dixie Dr South,5,Saturday,2025-04,80.5,322
Route 5 Ivins,5,Saturday,2025-04,57.8,231
Route 7 Washington,5,Saturday,2025-04,86.2,345
Route 8 Zion,5,Saturday,2025-04,81.2,325
Route 1 Red Cliffs,0,Monday,2025-04,261.8,1047
Route 3 West Side Connector,0,Monday,2025-04,269.0,1076
Route 4 Sunset,0,Monday,2025-04,201.8,807
Route 2 Riverside,0,Monday,2025-04,264.2,1057
Route 6 Dixie Dr South,0,Monday,2025-04,102.0,408
Route 5 Ivins,0,Monday,2025-04,78.0,312
Route 7 Washington,0,Monday,2025-04,107.2,429
Route 8 Zion,0,Monday,2025-04,96.0,384
Route 1 Red Cliffs,3,Thursday,2025-05,269.0,1345
Route 3 West Side Connector,3,Thursday,2025-05,303.8,1519
Route 4 Sunset,3,Thursday,2025-05,212.8,1064
Route 2 Riverside,3,Thursday,2025-05,286.2,1431
Route 6 Dixie Dr South,3,Thursday,2025-05,108.0,540
Route 5 Ivins,3,Thursday,2025-05,81.2,406
Route 7 Washington,3,Thursday,2025-05,108.2,541
Route 8 Zion,3,Thursday,2025-05,92.6,463
Route 1 Red Cliffs,4,Friday,2025-05,245.0,1225
Route 3 West Side Connector,4,Friday,2025-05,242.0,1210
Route 4 Sunset,4,Friday,2025-05,193.2,966
Route 2 Riverside,4,Friday,2025-05,235.6,1178
Route 6 Dixie Dr South,4,Friday,2025-05,104.6,523
Route 5 Ivins,4,Friday,2025-05,70.8,354
Route 7 Washington,4,Friday,2025-05,103.2,516
Route 8 Zion,4,Friday,2025-05,85.2,426
Route 1 Red Cliffs,5,Saturday,2025-05,209.2,1046
Route 3 West Side Connector,5,Saturday,2025-05,234.4,1172
Route 4 Sunset,5,Saturday,2025-05,158.8,794
Route 2 Riverside,5,Saturday,2025-05,235.2,1176
Route 6 Dixie Dr South,5,Saturday,2025-05,87.0,435
Route 5 Ivins,5,Saturday,2025-05,62.4,312
Route 7 Washington,5,Saturday,2025-05,93.2,466
Route 8 Zion,5,Saturday,2025-05,87.6,438
Route 1 Red Cliffs,0,Monday,2025-05,230.0,690
Route 3 West Side Connector,0,Monday,2025-05,236.3,709
Route 4 Sunset,0,Monday,2025-05,177.0,531
Route 2 Riverside,0,Monday,2025-05,232.0,696
Route 6 Dixie Dr South,0,Monday,2025-05,89.7,269
Route 5 Ivins,0,Monday,2025-05,68.7,206
Route 7 Washington,0,Monday,2025-05,94.0,282
Route 8 Zion,0,Monday,2025-05,84.3,253
Route 1 Red Cliffs,1,Tuesday,2025-05,241.2,965
Route 3 West Side Connector,1,Tuesday,2025-05,281.2,1125
Route 4 Sunset,1,Tuesday,2025-05,191.0,764
Route 2 Riverside,1,Tuesday,2025-05,249.8,999
Route 6 Dixie Dr South,1,Tuesday,2025-05,99.8,399
Route 5 Ivins,1,Tuesday,2025-05,73.2,293
Route 7 Washington,1,Tuesday,2025-05,92.5,370
Route 8 Zion,1,Tuesday,2025-05,87.0,348
Route 1 Red Cliffs,2,Wednesday,2025-05,237.0,948
